TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Oklahoma City Thunder,101.4,107.6,-6.2,0.521,2008-09
Orlando Magic,108.3,101.3,7.1,0.559,2008-09
Philadelphia 76ers,106.3,106.1,0.2,0.532,2008-09
Phoenix Suns,112.4,110.4,2.0,0.584,2008-09
Portland Trail Blazers,112.1,106.1,6.0,0.553,2008-09
Sacramento Kings,104.4,113.4,-9.0,0.542,2008-09
San Antonio Spurs,107.6,103.4,4.2,0.548,2008-09
Toronto Raptors,105.5,108.6,-3.0,0.542,2008-09
Utah Jazz,108.5,105.8,2.7,0.554,2008-09
Washington Wizards,104.0,112.1,-8.1,0.524,2008-09
Atlanta Hawks,111.0,106.0,4.9,0.545,2009-10
Boston Celtics,106.9,103.2,3.7,0.564,2009-10
Charlotte Bobcats,103.9,102.0,1.9,0.538,2009-10
Chicago Bulls,102.6,104.2,-1.6,0.52,2009-10
Cleveland Cavaliers,110.6,103.8,6.8,0.57,2009-10
Dallas Mavericks,107.8,105.0,2.8,0.552,2009-10
Denver Nuggets,110.8,106.5,4.4,0.561,2009-10
Detroit Pistons,104.5,110.3,-5.9,0.515,2009-10
Golden State Warriors,107.0,110.3,-3.3,0.557,2009-10
Houston Rockets,106.8,106.8,0.0,0.537,2009-10
Indiana Pacers,103.0,106.0,-3.0,0.536,2009-10
Los Angeles Clippers,102.3,109.1,-6.8,0.529,2009-10
Los Angeles Lakers,107.6,102.7,4.9,0.538,2009-10
Memphis Grizzlies,107.5,109.0,-1.5,0.536,2009-10
Miami Heat,105.7,103.4,2.4,0.537,2009-10
Milwaukee Bucks,104.0,101.9,2.1,0.518,2009-10
Minnesota Timberwolves,100.6,110.4,-9.8,0.518,2009-10
New Jersey Nets,99.3,108.9,-9.6,0.509,2009-10
New Orleans Hornets,106.5,108.9,-2.4,0.543,2009-10
New York Knicks,106.4,110.3,-4.0,0.547,2009-10
Oklahoma City Thunder,107.0,103.5,3.5,0.547,2009-10
Orlando Magic,110.7,102.8,7.9,0.573,2009-10
Philadelphia 76ers,104.8,108.9,-4.1,0.534,2009-10
Phoenix Suns,113.9,109.1,4.8,0.585,2009-10
Portland Trail Blazers,109.6,106.1,3.5,0.547,2009-10
Sacramento Kings,104.4,109.1,-4.7,0.528,2009-10
San Antonio Spurs,109.3,103.9,5.4,0.552,2009-10
Toronto Raptors,110.2,112.2,-2.0,0.564,2009-10
Utah Jazz,109.7,104.0,5.7,0.565,2009-10
Washington Wizards,103.1,108.3,-5.3,0.524,2009-10
Atlanta Hawks,105.1,105.8,-0.7,0.542,2010-11
Boston Celtics,105.5,99.8,5.7,0.561,2010-11
Charlotte Bobcats,102.8,107.0,-4.2,0.528,2010-11
Chicago Bulls,107.2,99.5,7.8,0.541,2010-11
Cleveland Cavaliers,101.5,110.9,-9.5,0.518,2010-11
Dallas Mavericks,108.4,104.1,4.4,0.565,2010-11
Denver Nuggets,111.7,106.8,4.9,0.574,2010-11
Detroit Pistons,107.0,110.7,-3.7,0.533,2010-11
Golden State Warriors,107.1,109.4,-2.3,0.544,2010-11
Houston Rockets,110.2,107.9,2.3,0.55,2010-11
Indiana Pacers,104.1,105.0,-0.9,0.533,2010-11
Los Angeles Clippers,104.8,108.0,-3.2,0.535,2010-11
Los Angeles Lakers,109.6,103.3,6.3,0.545,2010-11
Memphis Grizzlies,107.0,104.5,2.5,0.534,2010-11
Miami Heat,110.6,102.9,7.8,0.573,2010-11
Milwaukee Bucks,100.8,101.5,-0.8,0.511,2010-11
Minnesota Timberwolves,103.2,109.9,-6.7,0.526,2010-11
New Jersey Nets,102.1,108.9,-6.8,0.517,2010-11
New Orleans Hornets,105.4,104.4,1.0,0.537,2010-11
New York Knicks,109.9,109.0,1.0,0.561,2010-11
Oklahoma City Thunder,109.9,105.9,3.9,0.561,2010-11
Orlando Magic,107.4,101.8,5.6,0.554,2010-11
Philadelphia 76ers,105.3,103.8,1.5,0.535,2010-11
Phoenix Suns,108.6,109.4,-0.8,0.559,2010-11
Portland Trail Blazers,107.3,105.7,1.6,0.533,2010-11
Sacramento Kings,102.9,108.4,-5.5,0.519,2010-11
San Antonio Spurs,110.5,104.4,6.1,0.567,2010-11
Toronto Raptors,105.2,111.7,-6.5,0.533,2010-11
Utah Jazz,107.0,108.8,-1.8,0.544,2010-11
Washington Wizards,101.3,109.1,-7.8,0.513,2010-11
Atlanta Hawks,104.2,100.4,3.8,0.535,2011-12
Boston Celtics,100.1,97.5,2.6,0.535,2011-12
Charlotte Bobcats,94.4,109.4,-15.0,0.483,2011-12
Chicago Bulls,106.3,97.5,8.8,0.523,2011-12
Cleveland Cavaliers,100.0,107.6,-7.6,0.505,2011-12
Dallas Mavericks,102.1,100.9,1.1,0.527,2011-12
Denver Nuggets,108.3,105.1,3.2,0.556,2011-12
Detroit Pistons,100.0,105.0,-5.0,0.51,2011-12
Golden State Warriors,103.9,107.3,-3.4,0.539,2011-12
Houston Rockets,104.2,104.0,0.2,0.529,2011-12
Indiana Pacers,105.5,102.1,3.3,0.526,2011-12
Los Angeles Clippers,107.5,104.8,2.7,0.533,2011-12
Los Angeles Lakers,104.5,103.2,1.3,0.534,2011-12
Memphis Grizzlies,102.8,100.6,2.2,0.515,2011-12
Miami Heat,105.6,99.2,6.4,0.549,2011-12
Milwaukee Bucks,104.5,104.1,0.4,0.521,2011-12
Minnesota Timberwolves,103.1,105.3,-2.2,0.524,2011-12
New Jersey Nets,101.8,108.1,-6.3,0.516,2011-12
New Orleans Hornets,99.9,103.9,-4.0,0.517,2011-12
New York Knicks,103.5,100.2,3.2,0.533,2011-12
Oklahoma City Thunder,108.4,102.1,6.3,0.567,2011-12
Orlando Magic,104.0,103.4,0.6,0.533,2011-12
Philadelphia 76ers,102.7,98.2,4.6,0.511,2011-12
Phoenix Suns,105.2,105.2,-0.1,0.536,2011-12
Portland Trail Blazers,104.4,105.3,-0.9,0.531,2011-12
Sacramento Kings,102.9,108.7,-5.8,0.51,2011-12
San Antonio Spurs,110.0,102.3,7.7,0.562,2011-12
Toronto Raptors,99.6,103.6,-3.9,0.518,2011-12
Utah Jazz,105.5,104.9,0.5,0.525,2011-12
Washington Wizards,100.0,104.9,-5.0,0.508,2011-12
Atlanta Hawks,103.7,103.4,0.3,0.546,2012-13
Boston Celtics,102.2,102.6,-0.5,0.542,2012-13
Brooklyn Nets,106.9,104.8,2.0,0.536,2012-13
Charlotte Bobcats,100.4,110.3,-9.9,0.507,2012-13
Chicago Bulls,102.4,101.9,0.5,0.512,2012-13
Cleveland Cavaliers,103.2,108.2,-5.0,0.514,2012-13
Dallas Mavericks,104.7,105.4,-0.6,0.544,2012-13
Denver Nuggets,109.3,104.2,5.1,0.549,2012-13
Detroit Pistons,102.7,107.2,-4.5,0.521,2012-13
Golden State Warriors,105.1,104.2,0.9,0.545,2012-13
