TEAM_NAME,PACE,SEASON
New Orleans Pelicans,99.58,2022-23
New York Knicks,97.75,2022-23
Oklahoma City Thunder,101.94,2022-23
Orlando Magic,99.66,2022-23
Philadelphia 76ers,97.44,2022-23
Phoenix Suns,98.83,2022-23
Portland Trail Blazers,99.25,2022-23
Sacramento Kings,100.99,2022-23
San Antonio Spurs,102.07,2022-23
Toronto Raptors,97.85,2022-23
Utah Jazz,101.02,2022-23
Washington Wizards,99.16,2022-23
Atlanta Hawks,100.84,2023-24
Boston Celtics,97.98,2023-24
Brooklyn Nets,97.56,2023-24
Charlotte Hornets,97.81,2023-24
Chicago Bulls,96.94,2023-24
Cleveland Cavaliers,97.62,2023-24
Dallas Mavericks,100.6,2023-24
Denver Nuggets,97.43,2023-24
Detroit Pistons,100.45,2023-24
Golden State Warriors,99.91,2023-24
Houston Rockets,99.59,2023-24
Indiana Pacers,102.16,2023-24
LA Clippers,97.93,2023-24
Los Angeles Lakers,101.38,2023-24
Memphis Grizzlies,98.68,2023-24
Miami Heat,96.88,2023-24
Milwaukee Bucks,100.51,2023-24
Minnesota Timberwolves,97.79,2023-24
New Orleans Pelicans,98.7,2023-24
New York Knicks,95.96,2023-24
Oklahoma City Thunder,100.85,2023-24
Orlando Magic,97.37,2023-24
Philadelphia 76ers,98.17,2023-24
Phoenix Suns,99.0,2023-24
Portland Trail Blazers,97.88,2023-24
Sacramento Kings,99.46,2023-24
San Antonio Spurs,101.8,2023-24
Toronto Raptors,99.91,2023-24
Utah Jazz,100.26,2023-24
Washington Wizards,103.07,2023-24
