Team,Season,Wins,Losses
Oklahoma City Thunder,2009-10,50,32
Oklahoma City Thunder,2010-11,55,27
Oklahoma City Thunder,2011-12,47,19
Oklahoma City Thunder,2012-13,60,22
Oklahoma City Thunder,2013-14,59,23
Oklahoma City Thunder,2014-15,45,37
Oklahoma City Thunder,2015-16,55,27
Oklahoma City Thunder,2016-17,47,35
Oklahoma City Thunder,2017-18,48,34
Oklahoma City Thunder,2018-19,49,33
Oklahoma City Thunder,2019-20,44,28
Oklahoma City Thunder,2020-21,22,50
Oklahoma City Thunder,2021-22,24,58
Oklahoma City Thunder,2022-23,40,42
Oklahoma City Thunder,2023-24,57,25
Oklahoma City Thunder,2024-25,43,9
Toronto Raptors,2000-01,47,35
Toronto Raptors,2001-02,42,40
Toronto Raptors,2002-03,24,58
Toronto Raptors,2003-04,33,49
Toronto Raptors,2004-05,33,49
Toronto Raptors,2005-06,27,55
Toronto Raptors,2006-07,47,35
Toronto Raptors,2007-08,41,41
Toronto Raptors,2008-09,33,49
Toronto Raptors,2009-10,40,42
Toronto Raptors,2010-11,22,60
Toronto Raptors,2011-12,23,43
Toronto Raptors,2012-13,34,48
Toronto Raptors,2013-14,48,34
Toronto Raptors,2014-15,49,33
Toronto Raptors,2015-16,56,26
Toronto Raptors,2016-17,51,31
Toronto Raptors,2017-18,59,23
Toronto Raptors,2018-19,58,24
Toronto Raptors,2019-20,53,19
Toronto Raptors,2020-21,27,45
Toronto Raptors,2021-22,48,34
Toronto Raptors,2022-23,41,41
Toronto Raptors,2023-24,25,57
Toronto Raptors,2024-25,16,37
Utah Jazz,2000-01,53,29
Utah Jazz,2001-02,44,38
Utah Jazz,2002-03,47,35
Utah Jazz,2003-04,42,40
Utah Jazz,2004-05,26,56
Utah Jazz,2005-06,41,41
Utah Jazz,2006-07,51,31
Utah Jazz,2007-08,54,28
Utah Jazz,2008-09,48,34
Utah Jazz,2009-10,53,29
Utah Jazz,2010-11,39,43
Utah Jazz,2011-12,36,30
Utah Jazz,2012-13,43,39
Utah Jazz,2013-14,25,57
Utah Jazz,2014-15,38,44
Utah Jazz,2015-16,40,42
Utah Jazz,2016-17,51,31
Utah Jazz,2017-18,48,34
Utah Jazz,2018-19,50,32
Utah Jazz,2019-20,44,28
Utah Jazz,2020-21,52,20
Utah Jazz,2021-22,49,33
Utah Jazz,2022-23,37,45
Utah Jazz,2023-24,31,51
Utah Jazz,2024-25,12,40
Memphis Grizzlies,2000-01,23,59
Memphis Grizzlies,2001-02,23,59
Memphis Grizzlies,2002-03,28,54
Memphis Grizzlies,2003-04,50,32
Memphis Grizzlies,2004-05,45,37
Memphis Grizzlies,2005-06,49,33
Memphis Grizzlies,2006-07,22,60
Memphis Grizzlies,2007-08,22,60
Memphis Grizzlies,2008-09,24,58
Memphis Grizzlies,2009-10,40,42
Memphis Grizzlies,2010-11,46,36
Memphis Grizzlies,2011-12,41,25
Memphis Grizzlies,2012-13,56,26
Memphis Grizzlies,2013-14,50,32
Memphis Grizzlies,2014-15,55,27
Memphis Grizzlies,2015-16,42,40
Memphis Grizzlies,2016-17,43,39
Memphis Grizzlies,2017-18,22,60
Memphis Grizzlies,2018-19,33,49
Memphis Grizzlies,2019-20,34,39
Memphis Grizzlies,2020-21,38,34
Memphis Grizzlies,2021-22,56,26
Memphis Grizzlies,2022-23,51,31
Memphis Grizzlies,2023-24,27,55
Memphis Grizzlies,2024-25,35,17
Washington Wizards,2000-01,19,63
Washington Wizards,2001-02,37,45
Washington Wizards,2002-03,37,45
Washington Wizards,2003-04,25,57
Washington Wizards,2004-05,45,37
Washington Wizards,2005-06,42,40
Washington Wizards,2006-07,41,41
Washington Wizards,2007-08,43,39
Washington Wizards,2008-09,19,63
Washington Wizards,2009-10,26,56
Washington Wizards,2010-11,23,59
Washington Wizards,2011-12,20,46
Washington Wizards,2012-13,29,53
Washington Wizards,2013-14,44,38
Washington Wizards,2014-15,46,36
Washington Wizards,2015-16,41,41
Washington Wizards,2016-17,49,33
Washington Wizards,2017-18,43,39
Washington Wizards,2018-19,32,50
Washington Wizards,2019-20,25,47
Washington Wizards,2020-21,34,38
Washington Wizards,2021-22,35,47
Washington Wizards,2022-23,35,47
Washington Wizards,2023-24,15,67
Washington Wizards,2024-25,9,44
Detroit Pistons,2000-01,32,50
Detroit Pistons,2001-02,50,32
Detroit Pistons,2002-03,50,32
Detroit Pistons,2003-04,54,28
Detroit Pistons,2004-05,54,28
Detroit Pistons,2005-06,64,18
Detroit Pistons,2006-07,53,29
Detroit Pistons,2007-08,59,23
Detroit Pistons,2008-09,39,43
Detroit Pistons,2009-10,27,55
Detroit Pistons,2010-11,30,52
Detroit Pistons,2011-12,25,41
Detroit Pistons,2012-13,29,53
Detroit Pistons,2013-14,29,53
Detroit Pistons,2014-15,32,50
Detroit Pistons,2015-16,44,38
Detroit Pistons,2016-17,37,45
Detroit Pistons,2017-18,39,43
Detroit Pistons,2018-19,41,41
Detroit Pistons,2019-20,20,46
Detroit Pistons,2020-21,20,52
Detroit Pistons,2021-22,23,59
Detroit Pistons,2022-23,17,65
Detroit Pistons,2023-24,14,68
Detroit Pistons,2024-25,27,26
Charlotte Hornets,2000-01,46,36
Charlotte Hornets,2001-02,44,38
Charlotte Hornets,2004-05,18,64
Charlotte Hornets,2005-06,26,56
Charlotte Hornets,2006-07,33,49
Charlotte Hornets,2007-08,32,50
Charlotte Hornets,2008-09,35,47
Charlotte Hornets,2009-10,44,38
Charlotte Hornets,2010-11,34,48
Charlotte Hornets,2011-12,7,59
Charlotte Hornets,2012-13,21,61
Charlotte Hornets,2013-14,43,39
Charlotte Hornets,2014-15,33,49
Charlotte Hornets,2015-16,48,34
Charlotte Hornets,2016-17,36,46
Charlotte Hornets,2017-18,36,46
Charlotte Hornets,2018-19,39,43
Charlotte Hornets,2019-20,23,42
Charlotte Hornets,2020-21,33,39
Charlotte Hornets,2021-22,43,39
Charlotte Hornets,2022-23,27,55
Charlotte Hornets,2023-24,21,61
Charlotte Hornets,2024-25,13,38
