TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Atlanta Hawks,2946,6496,424,1154,45.350985221674875,36.741767764298096,2522,5342,47.21078247847249,2005-06
Boston Celtics,2951,6322,467,1290,46.678266371401456,36.201550387596896,2484,5032,49.36406995230524,2005-06
Charlotte Bobcats,2961,6843,428,1261,43.27049539675581,33.94131641554322,2533,5582,45.378000716589035,2005-06
Chicago Bulls,3004,6737,560,1477,44.58957993172035,37.91469194312796,2444,5260,46.4638783269962,2005-06
Cleveland Cavaliers,2908,6412,497,1465,45.35246412975671,33.92491467576792,2411,4947,48.736608045279965,2005-06
Dallas Mavericks,2948,6375,416,1113,46.24313725490196,37.37646001796946,2532,5262,48.118586088939566,2005-06
Denver Nuggets,3078,6672,350,1076,46.13309352517986,32.52788104089219,2728,5596,48.74910650464618,2005-06
Detroit Pistons,2983,6558,557,1451,45.48642878926502,38.38731909028256,2426,5107,47.50342666927746,2005-06
Golden State Warriors,2939,6785,625,1832,43.31613854089904,34.11572052401747,2314,4953,46.71916010498688,2005-06
Houston Rockets,2708,6252,469,1414,43.31413947536788,33.16831683168317,2239,4838,46.27945431996693,2005-06
Indiana Pacers,2786,6274,536,1536,44.405482945489325,34.89583333333333,2250,4738,47.48839172646686,2005-06
Los Angeles Clippers,2993,6443,290,843,46.45351544311656,34.400948991696325,2703,5600,48.26785714285714,2005-06
Los Angeles Lakers,2992,6607,552,1583,45.285303466020885,34.870499052432095,2440,5024,48.56687898089172,2005-06
Memphis Grizzlies,2746,6125,590,1578,44.83265306122449,37.38910012674271,2156,4547,47.415878601275566,2005-06
Miami Heat,3039,6355,497,1441,47.82061369000787,34.489937543372655,2542,4914,51.729751729751726,2005-06
Milwaukee Bucks,2976,6566,507,1335,45.32439841608285,37.97752808988764,2469,5231,47.19938826228255,2005-06
Minnesota Timberwolves,2888,6340,310,942,45.55205047318612,32.90870488322717,2578,5398,47.75842904779548,2005-06
New Jersey Nets,2778,6317,477,1447,43.97657115719487,32.96475466482377,2301,4870,47.24845995893224,2005-06
New Orleans/Oklahoma City Hornets,2831,6428,300,885,44.04169259489733,33.89830508474576,2531,5543,45.661194299116005,2005-06
New York Knicks,2822,6205,320,884,45.47945205479452,36.199095022624434,2502,5321,47.02123660965984,2005-06
Orlando Magic,2911,6167,299,796,47.2028538997892,37.562814070351756,2612,5371,48.63153975051201,2005-06
Philadelphia 76ers,3001,6546,375,1031,45.84479071188512,36.37245392822502,2626,5515,47.615593834995465,2005-06
Phoenix Suns,3430,7167,837,2097,47.85823915166736,39.91416309012876,2593,5070,51.1439842209073,2005-06
Portland Trail Blazers,2791,6267,364,1042,44.53486516674645,34.93282149712092,2427,5225,46.44976076555024,2005-06
